#Date,amazon,google
#Date,amazon,google
11-08-2015,523.650000,669.200000
06-11-2015,379.900000,416.955000
25-03-2015,217.598600,325.185000
04-08-2015,529.690000,628.420000
20-04-2015,378.550000,525.600000
13-07-2015,246.559500,298.412800
07-12-2015,404.844000,437.628900
30-06-2015,434.200000,526.020000
10-12-2015,665.590000,752.850000
19-08-2015,320.244000,361.130000
06-03-2015,385.520000,574.880000
24-09-2015,530.550000,616.640000
26-05-2015,238.672000,322.872000
01-10-2015,511.000000,608.370000
04-12-2015,666.000000,753.100000
20-08-2015,291.714500,393.276000
30-03-2015,211.965900,319.939600
14-07-2015,462.320000,546.760000
18-05-2015,426.000000,532.010000
17-02-2015,219.077600,317.161400
24-12-2015,398.010000,442.234500
20-05-2015,420.600000,538.490000
23-10-2015,364.431200,400.125000
18-06-2015,236.665000,297.360000
09-09-2015,314.400000,341.671000
12-01-2016,625.250000,721.680000
03-11-2015,629.530000,718.860000
17-06-2015,428.360000,529.370000
02-10-2015,512.990000,607.200000
19-01-2016,577.090000,703.300000
12-11-2015,673.000000,731.000000
09-11-2015,658.650000,730.200000
05-06-2015,429.660000,536.350000
27-03-2015,367.110000,553.000000
03-12-2015,679.440000,766.010000
14-10-2015,551.340000,653.210000
17-08-2015,531.290000,656.800000
29-07-2015,307.933600,377.280000
04-02-2015,358.380000,529.240000
20-01-2016,327.328800,406.279900
15-05-2015,428.000000,539.180000
22-04-2015,223.388700,315.296000
25-06-2015,262.842000,317.933300
03-06-2015,434.400000,539.910000
06-08-2015,539.300000,645.000000
29-06-2015,434.980000,525.010000
29-09-2015,293.480000,352.395200
21-04-2015,391.310000,537.510000
23-07-2015,285.162800,396.762000
25-01-2016,334.874400,397.969000
15-10-2015,547.750000,654.660000
13-10-2015,316.830800,353.732500
23-02-2015,222.395200,294.827500
01-04-2015,372.100000,548.600000
27-10-2015,608.600000,707.380000
28-01-2016,365.022000,397.221000
28-08-2015,294.975000,354.379200
16-12-2015,663.560000,750.000000
17-12-2015,394.400000,434.579400
02-06-2015,430.070000,532.930000
13-02-2015,215.693700,315.143000
09-07-2015,256.591000,287.716000
05-01-2016,646.860000,746.450000
09-04-2015,216.976200,324.618000
02-07-2015,437.000000,521.080000
17-03-2015,371.110000,551.710000
29-04-2015,426.750000,550.470000
28-12-2015,665.560000,752.920000
24-11-2015,397.742600,428.640000
16-10-2015,565.270000,664.110000
21-07-2015,287.861000,366.917600
14-09-2015,291.192000,356.649000
09-12-2015,678.000000,759.170000
27-08-2015,513.710000,639.400000
28-05-2015,429.710000,538.010000
04-03-2015,385.710000,571.870000
10-07-2015,440.490000,526.290000
02-02-2016,324.900000,431.475000
15-06-2015,256.596000,311.520000
27-07-2015,316.650000,341.550000
30-07-2015,311.313500,378.000000
20-10-2015,572.000000,664.040000
14-01-2016,324.940000,409.120400
30-12-2015,387.458400,427.130000
21-01-2016,321.204800,414.286200
29-10-2015,617.700000,710.500000
15-04-2015,226.943500,296.072000
19-03-2015,373.870000,559.390000
07-05-2015,424.150000,523.990000
20-07-2015,285.690600,388.951600
24-06-2015,244.733500,318.600000
29-01-2016,331.748400,409.656800
06-10-2015,300.025000,364.138800
05-08-2015,323.280000,367.911400
14-12-2015,365.797500,437.656100
11-09-2015,307.431300,371.850000
26-01-2016,350.001000,399.756000
08-12-2015,391.246700,447.155100
19-11-2015,398.994000,443.244000
11-05-2015,432.510000,538.370000
15-09-2015,313.950000,344.685000
03-08-2015,295.597500,368.950600
21-09-2015,544.330000,634.400000
13-01-2016,620.880000,730.850000
19-05-2015,424.870000,533.980000
14-08-2015,301.102500,386.455900
10-06-2015,234.553000,291.148000
04-05-2015,237.888000,323.118000
20-02-2015,215.813400,298.721500
27-02-2015,384.000000,554.240000
16-07-2015,465.500000,565.120000
27-05-2015,235.097500,293.040000
31-08-2015,289.206400,357.697800
31-07-2015,539.090000,631.380000
28-07-2015,536.000000,632.830000
27-04-2015,261.877400,338.034000
26-03-2015,214.362200,328.978100
21-05-2015,239.680000,306.631500
19-06-2015,440.260000,537.210000
24-04-2015,439.000000,566.100000
01-06-2015,430.400000,536.790000
24-07-2015,330.024300,355.850000
30-11-2015,675.900000,748.810000
06-04-2015,214.658000,314.009800
07-07-2015,248.337600,287.721500
30-09-2015,277.992000,355.935200
21-10-2015,563.870000,654.150000
09-03-2015,219.472000,328.778800
07-01-2016,621.800000,730.310000
08-09-2015,289.953300,349.119300
01-09-2015,294.492600,355.392400
02-11-2015,627.130000,711.060000
23-11-2015,376.040000,439.321000
13-11-2015,663.570000,729.170000
16-04-2015,222.540200,291.445000
05-02-2015,366.000000,523.790000
22-09-2015,539.710000,627.000000
17-04-2015,221.925400,306.622800
30-04-2015,427.110000,547.870000
18-03-2015,369.970000,552.500000
14-05-2015,429.450000,533.770000
17-11-2015,357.857500,401.109500
08-06-2015,238.347200,303.986700
30-10-2015,626.010000,715.730000
21-08-2015,284.121600,351.879000
24-02-2015,378.650000,530.000000
29-12-2015,379.668800,437.013300
12-10-2015,539.960000,642.090000
23-03-2015,378.070000,560.430000
20-11-2015,398.370000,410.591500
10-09-2015,283.332500,367.860000
11-01-2016,367.488000,415.633800
15-01-2016,572.240000,692.290000
16-03-2015,211.116600,314.041500
12-02-2015,375.100000,537.250000
04-11-2015,364.100800,411.540000
25-09-2015,542.570000,629.770000
19-02-2015,373.490000,538.040000
10-03-2015,226.470000,332.907500
27-01-2016,601.990000,713.670000
07-04-2015,376.150000,538.080000
17-09-2015,310.918200,350.784500
10-11-2015,365.680000,427.396000
12-06-2015,245.812500,292.380000
18-09-2015,315.425800,362.970300
16-11-2015,378.142800,415.048000
13-05-2015,257.988000,297.113600
12-03-2015,221.292000,304.430500
22-06-2015,437.000000,539.590000
11-02-2015,371.230000,535.300000
03-03-2015,222.691000,319.452000
06-07-2015,261.138000,311.700000
06-05-2015,248.643700,302.806800
19-10-2015,313.918000,370.260800
18-11-2015,646.510000,727.580000
09-06-2015,253.776000,305.984800
13-08-2015,316.422000,388.998800
02-09-2015,505.090000,605.590000
17-07-2015,477.700000,649.000000
23-04-2015,390.210000,541.000000
06-02-2015,374.870000,527.640000
01-07-2015,439.350000,524.730000
22-05-2015,431.550000,540.150000
22-07-2015,272.154400,383.316200
21-12-2015,668.500000,746.130000
31-03-2015,205.282000,324.500000
20-03-2015,376.290000,561.650000
13-03-2015,211.766400,304.425000
22-01-2016,347.350700,419.688000
27-11-2015,680.800000,748.460000
04-01-2016,656.290000,743.000000
02-12-2015,681.000000,768.900000
08-01-2016,371.796000,402.297500
25-02-2015,215.043900,321.540000
24-03-2015,373.990000,562.560000
11-06-2015,242.082400,301.515200
28-10-2015,361.257000,417.324700
03-09-2015,514.500000,617.000000
25-08-2015,282.744200,356.647800
11-11-2015,663.250000,732.460000
26-10-2015,602.300000,701.550000
01-12-2015,404.250000,448.266000
16-06-2015,254.490000,317.040000
26-02-2015,211.238500,315.061800
22-10-2015,315.112000,388.020000
08-04-2015,374.660000,538.380000
02-03-2015,224.701500,336.318000
18-12-2015,668.650000,746.510000
26-06-2015,247.385600,322.356000
12-08-2015,314.250000,397.848000
05-03-2015,385.610000,575.020000
24-08-2015,273.512200,315.150000
01-05-2015,241.577400,317.673700
10-04-2015,226.742900,314.528200
02-04-2015,203.775000,302.876000
08-05-2015,254.142500,311.257000
22-12-2015,393.429700,435.957000
18-08-2015,299.622400,377.283000
25-11-2015,675.000000,748.140000
18-02-2015,375.420000,541.400000
13-04-2015,383.530000,538.410000
04-09-2015,497.650000,600.000000
01-02-2016,578.150000,750.460000
11-12-2015,651.230000,741.160000
23-12-2015,666.500000,753.470000
15-07-2015,268.563200,308.071500
05-05-2015,241.024500,306.779700
12-05-2015,431.080000,531.600000
07-08-2015,301.621200,358.528800
14-04-2015,383.510000,536.250000
26-08-2015,484.020000,610.350000
05-11-2015,647.100000,729.470000
31-12-2015,391.065600,423.225000
06-01-2016,622.000000,730.000000
09-02-2015,371.000000,528.000000
04-06-2015,247.608000,301.145600
11-03-2015,207.541600,305.327000
15-12-2015,665.030000,753.000000
29-05-2015,427.230000,537.370000
16-09-2015,521.980000,635.470000
10-02-2015,371.190000,529.300000
28-04-2015,438.510000,554.640000
28-09-2015,286.011000,360.100600
10-08-2015,528.520000,639.480000
23-06-2015,243.930400,318.387600
23-09-2015,538.300000,622.050000
08-07-2015,434.350000,521.050000
03-02-2016,553.500000,770.220000
